DATA AS OF,DEVELOPMENT,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,TOTAL # OF FIXED INCOME HOUSEHOLD,PERCENT FIXED INCOME HOUSEHOLDS,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,RAD TRANSFERRED DATE
1/1/2024,CONEY ISLAND I (SITE 1B),NY005011660,239,166,335,288,NY005161,FEDERAL,TURNKEY,NEW CONST,0,193,193,954.5,4.95,0,443,443,72,0.3913,1,0,1,18,"93,061.00",2.14,"93,061",2.14,"14,078","1,876,990",15.13%,207,"$7,531,412","$7,829",$594,W 20TH ST,W 21ST ST,SURF AVE,MERMAID AVE,BROOKLYN,13,8,23,46,47,5/31/1973,,,,,
1/1/2024,CONEY ISLAND I (SITE 8),NY005011720,238,172,334,334,NY005157,FEDERAL,TURNKEY,NEW CONST,0,121,125,603.5,4.99,0,275,275,39,0.3939,1,0,2,14,"61,483.00",1.41,"61,483",1.41,"11,970","1,187,936",19.47%,195,"$5,853,893","$9,255",$540,W 35TH ST,W 36TH ST,SURF AVE,MERMAID AVE,BROOKLYN,13,8,23,46,47,12/31/1973,,,,,
1/1/2024,CONEY ISLAND I (SITES 4 & 5),NY005011700,216,170,328,278,NY005123,FEDERAL,TURNKEY,NEW CONST,0,374,376,"1,867.00",4.99,0,918,918,132,0.3708,1,1,5,17,"187,318.00",4.3,"187,318",4.3,"38,750","4,017,326",20.69%,213,"$16,603,000","$8,808",$645,MERMAID AVE,W 25TH ST,SURF AVE,W 28TH ST,BROOKLYN,13,8,23,46,47,7/31/1974,,,,,
1/1/2024,CONLON LIHFE TOWER,NY005010910,232,91,347,240,NY005137,FEDERAL,TURNKEY,NEW CONST (ELD),0,214,216,701,3.28,0,218,218,174,0.9063,1,0,1,13,"51,873.00",1.19,"51,873",1.19,"11,294","1,325,412",21.77%,183,"$5,835,896","$7,973",$375,170TH ST,172ND ST,JAMAICA AVE,93RD AVE,QUEENS,12,5,11,29,27,3/31/1973,,EXCLUSIVELY,,,
1/1/2024,COOPER PARK,NY005000690,69,69,223,223,NY005023,FEDERAL,CONVENTIONAL,NEW CONST,0,699,700,"3,275.50",4.69,0,"1,435","1,435",319,0.4768,11,0,13,7,"528,967.00",12.14,"496,296",11.39,"86,767","5,878,957",16.40%,118,"$7,702,277","$2,346",$612,FROST ST,MORGAN AVE,KINGSLAND AVE,MASPETH AVE,BROOKLYN,1,7,18,53,34,6/25/1953,,,,,
1/1/2024,CORSI HOUSES,NY005010640,199,64,359,219,NY005149,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,158,171,473,2.99,0,175,175,129,0.8377,1,0,1,16,"32,004.00",0.73,"32,004",0.73,"20,446","1,361,650",63.89%,240,"$6,600,521","$11,882",$326,E 116TH ST,E 117TH ST,FIRST AVE,SECOND AVE,MANHATTAN,11,13,29,68,8,11/30/1973,,EXCLUSIVELY,,,
1/1/2024,CYPRESS HILLS,NY005010700,70,70,536,536,NY005220G,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,440","1,444","6,593.00",4.58,0,"2,950","2,950",571,0.4132,15,0,30,7,"1,264,130.00",29.02,"1,264,130",29.02,"223,364","12,338,237",17.67%,102,"$14,773,000","$2,247",$560,SUTTER AVE,EUCLID AVE,LINDEN BLVD,FOUNTAIN AVE,BROOKLYN,5,8,19,60,42,5/25/1955,1978/07/01-ATP 3,,,,
1/1/2024,DE HOSTOS APARTMENTS,NY005011270,155,155,265,259,NY005066,FEDERAL,CONVENTIONAL,NEW CONST,0,218,223,951,4.36,0,441,441,97,0.4663,1,0,1,22,"32,690.00",0.75,"32,690",0.75,"10,319","1,794,597",31.57%,588,"$4,044,899","$4,130",$590,AMSTERDAM AVE,W 93RD ST,BROADWAY,W 94TH ST,MANHATTAN,7,12,47,69,7,3/28/1969,,,,,
1/1/2024,DOUGLASS,,"082, 582",82,569,569,NY005244B,FEDERAL,CONVENTIONAL,NEW CONST,,"2,048","2,058","9,244.00",4.51,0,"3,898","3,898",902,0.0046,17,0,17,5–9–12–17–18–20,"947,991.00",21.76,"863,250",19.82,"138,552","17,567,741",14.62%,179,"$37,441,000","$4,062",$617,W 104TH ST,MANHATTAN AVE,W 100TH ST,AMSTERDAM AVE,MANHATTAN,7,13,30,69,7,9/25/1958,1979/08/01-ATP 4,,,,
1/1/2024,DOUGLASS ADDITION,NY005010820,148,82,569,569,NY005244B,FEDERAL,CONVENTIONAL,NEW CONST,0,135,135,667.5,4.94,0,307,307,57,0.4419,1,0,1,16,"23,957.00",0.55,"23,957",0.55,"8,884","1,289,500",37.08%,558,"$3,783,000","$5,667",$645,W 102ND ST,W 103RD ST,AMSTERDAM AVE,,MANHATTAN,7,12,30,69,7,6/30/1965,1979/08/01-ATP 4,,,,
1/1/2024,DOUGLASS I,NY005010820,82,82,569,569,NY005244B,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,299","1,305","5,793.50",4.46,0,"2,402","2,402",575,0.4626,11,0,11,5–9–12–17–20,"533,018.00",12.24,"533,018",12.24,"94,508","10,999,163",17.73%,196,"$22,701,754","$3,933",$595,W 104TH ST,MANHATTAN AVE,W 100TH ST,COLUMBUS AVE,MANHATTAN,7,13,30,69,7,9/25/1958,1979/08/01-ATP 4,,,,
1/1/2024,DOUGLASS II,NY005010820,582,82,569,569,NY005244B,FEDERAL,CONVENTIONAL,NEW CONST,0,749,753,"3,450.50",4.61,0,"1,496","1,496",327,0.4529,6,0,6,9–12–17–18–20,"414,973.00",9.53,"330,232",7.58,"44,044","6,568,578",10.61%,157,"$14,739,246","$4,277",$656,W 104TH ST,COLUMBUS AVE,W 100TH ST,AMSTERDAM AVE,MANHATTAN,7,13,30,69,7,9/25/1958,1979/08/01-ATP 4,,,,
1/1/2024,DREW-HAMILTON,NY005021110,111,111,434,434,NY005373,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,278,"1,170","1,217","5,198.00",4.44,529,"1,924","2,453",480,0.424,5,0,5,21,"312,188.00",7.17,"292,159",6.71,"74,433","9,889,060",23.84%,342,"$25,146,000","$4,687",$537,W 141ST ST,W 144TH ST,POWELL BLVD,DOUGLASS BLVD,MANHATTAN,10,13,30,70,9,9/30/1965,,,,,
1/1/2024,DYCKMAN,NY005000410,41,41,373,373,NY005183A,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,165","1,167","5,047.50",4.33,0,"1,983","1,983",605,0.5436,7,1,7,14,"613,884.00",14.09,"570,318",13.09,"80,457","9,780,114",13.11%,141,"$14,202,915","$2,812",$600,DYCKMAN ST,NAGLE AVE,W 204TH ST,TENTH AVE,MANHATTAN,12,13,31,72,10,4/25/1951,1972/06/29-FED TRAN,,,,
1/1/2024,EAST 152ND STREET-COURTLANDT AVENUE,NY005010280,237,28,360,360,NY005154,FEDERAL,TURNKEY,NEW CONST,0,205,221,857.5,4.18,0,331,331,143,0.6976,2,0,2,11–14,"63,175.00",1.45,"63,175",1.45,"21,301","1,801,668",33.72%,228,"$7,717,944","$8,330",$486,E 151ST ST,E 153RD ST,COURTLANDT AVE,MELROSE AVE,BRONX,1,15,29,84,17,8/31/1973,,PARTIALLY (1 BUILDING),,,
1/1/2024,EAST 165TH STREET-BRYANT AVENUE,NY005015300,304,530,552,748,NY005226,FEDERAL,TURNKEY,NEW CONST,0,111,111,588.5,5.3,0,353,353,17,0.1545,5,0,19,3,"137,566.00",3.16,"137,566",3.16,"41,134","1,286,795",29.90%,112,"$8,178,643","$13,874",$783,WESTCHESTER AVE,LONGFELLOW AVE,ALDUS ST,HOE AVE,BRONX,2,14,32,85,17,10/31/1987,,,YES,YES,
1/1/2024,EAST 173RD STREET-VYSE AVENUE,NY005015300,338,530,778,748,NY005252,FEDERAL,TURNKEY,NEW CONST,0,167,168,754.5,4.52,0,364,364,49,0.3025,7,0,28,3,"196,060.00",4.5,"196,060",4.5,"59,524","1,547,624",28.46%,81,"$12,629,936","$16,684",$658,SOUTHERN BLVD,E 173RD ST,VYSE AVE,JENNINGS ST,BRONX,3,15,32,79,17,10/31/1987,,,YES,YES,
1/1/2024,EAST 180TH STREET-MONTEREY AVENUE,NY005012270,208,180,323,363,NY005124,FEDERAL,CONVENTIONAL,NEW CONST,0,230,239,"1,021.00",4.44,0,481,481,116,0.5088,1,1,2,10,"78,743.00",1.81,"78,743",1.81,"30,800","2,072,776",39.11%,266,"$8,727,000","$8,221",$504,E 180TH ST,E 181ST ST,LAFONTAINE AVE,QUARRY RD,BRONX,6,15,32,86,15,9/30/1973,,,,,
1/1/2024,EAST NEW YORK CITY LINE,NY005010700,263,70,378,378,NY005171,FEDERAL,TURNKEY,NEW CONST,0,66,66,409,6.2,0,241,241,25,0.3906,33,0,33,3,"84,400.00",1.94,"84,400",1.94,"26,943","719,300",31.92%,124,"$2,774,644","$6,784",$657,FOUNTAIN AVE,HEGEMAN AVE,LOGAN ST,,BROOKLYN,5,8,19,60,42,3/31/1976,,,,,
1/1/2024,EAST RIVER,NY005010090,9,9,207,207,NY005005,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,150","1,170","4,824.00",4.19,0,"2,068","2,068",467,0.4373,10,1,29,6–10–11,"512,822.00",11.77,"466,607",10.71,"112,140","7,963,515",21.87%,176,"$5,304,700","$1,086",$523,FIRST AVE,FDR DRIVE,E 102ND ST,E 105TH ST,MANHATTAN,11,13,29,68,8,5/20/1941,,,,,
1/1/2024,EASTCHESTER GARDENS,NY005010340,34,34,313,313,NY005114A,FEDERAL,CONVENTIONAL,NEW CONST,0,831,877,"4,034.50",4.85,0,"1,852","1,852",358,0.4329,10,0,15,7–8,"653,856.00",15.01,"607,396",13.94,"115,918","7,891,470",17.73%,123,"$9,514,000","$2,244",$577,BURKE AVE,BOUCK AVE,ADEE AVE,YATES AVE,BRONX,11,15,36,83,12,6/1/1950,1968/08/29-FED TRAN,,,,
1/1/2024,ELLIOTT,NY005011340,15,134,367,367,NY005181C,FEDERAL,CONVENTIONAL,NEW CONST,0,542,608,"2,589.00",4.78,0,"1,187","1,187",236,0.4362,4,0,8,11–12,"204,530.00",4.7,"204,530",4.7,"45,023","4,301,454",22.01%,253,"$5,042,342","$1,808",$654,W 25TH ST,CHELSEA PARK,NINTH AVE,TENTH AVE,MANHATTAN,4,12,47,75,3,7/15/1947,1972/06/29-FED TRAN,,,,
1/1/2024,FARRAGUT,NY005000290,29,29,532,532,NY005220C,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,331","1,390","6,256.50",4.7,0,"2,848","2,848",575,0.4323,10,0,10,14,"723,570.00",16.61,"723,570",16.61,"100,746","11,639,930",13.92%,171,"$15,187,000","$2,324",$599,YORK ST,NASSAU ST,NAVY ST,BRIDGE ST,BROOKLYN,2,7,25,57,35,5/7/1952,1978/07/01-ATP 3,,,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP I),NY005012090,209,91,324,324,NY005140,FEDERAL,CONVENTIONAL,REHAB,0,15,23,79.5,5.3,0,20,20,10,0.6667,20,0,23,1–2,"109,109.00",2.5,"109,109",2.5,,,,8,"$872,178","$3,645",$789,20 QUEENS,,,,QUEENS,,5,"10, 14","29, 31, 32, 33","27, 28, 31",10/31/1969,,,YES,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP II),NY005012090,212,91,327,324,NY005155,FEDERAL,CONVENTIONAL,REHAB,0,8,11,42,5.25,0,19,19,2,0.25,10,0,11,1–2–3,"71,102.00",1.63,"71,102",1.63,,,,12,"$638,109","$3,710","$1,180",9 QUEENS,1 BRONX,,,BRONX/QUEENS,,"05, 14","10, 14, 34","29, 31, 32, 33, 85","18, 27, 28, 31",9/30/1970,,,YES,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP III),NY005012090,213,91,340,324,NY005158,FEDERAL,CONVENTIONAL,REHAB,0,10,11,56,5.6,0,15,15,6,0.6,10,0,11,1–2,"48,377.00",1.11,"48,377",1.11,,,,14,"$391,158","$3,743",$816,9 QUEENS,1 BRONX,,,BRONX/QUEENS,,"05, 15","10, 14, 36","29, 31, 32, 33, 83","12, 27, 28, 31",4/30/1971,,,YES,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP IV),NY005012090,226,91,345,324,NY005159,FEDERAL,CONVENTIONAL,REHAB,0,9,9,51.5,5.72,0,13,13,5,0.5556,9,0,9,1–2–3,"59,855.00",1.37,"59,855",1.37,,,,9,"$535,873","$4,084",$972,8 QUEENS,1 BRONX,,,BRONX/QUEENS,,"05, 14","10, 14, 34","29, 31, 32, 33, 85","18, 27, 28, 31",6/30/1971,,,YES,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP IX),NY005012090,283,91,376,324,NY005206,FEDERAL,CONVENTIONAL,REHAB,0,14,27,68,4.86,0,25,25,9,0.6429,12,0,27,1–1.5–2–2.5–3,"50,476.00",1.16,"50,476",1.16,,,,22,"$920,558","$3,885","$1,099",2 QUEENS,10 BROOKLYN,,,BROOKLYN/QUEENS,,"05, 07, 08, 09, 10","10, 19, 20, 25, 26","32, 52, 57, 58, 60","28, 35, 39, 41, 42",1/31/1983,,,YES,,
1/1/2024,LA PRECIOSA,NY005024000,590,,,,,MIXED FINANCE/NON-NYCHA DEVELOPMENT,CONVENTIONAL,NEW CONST,,21,49,,,,,,,,1,,1,7,"12,632.40",0.29,"12,632",0.29,,,,,,,,WASHINGTON AVE,EAST 166 STREET,,,BRONX,3,15,32,79,16,,,,,YES,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP V),NY005012090,260,91,397,324,NY005182,FEDERAL,CONVENTIONAL,REHAB,0,25,32,133.5,5.34,0,51,51,12,0.48,28,0,32,1–2–3,"140,965.00",3.24,"140,965",3.24,,,,16,"$1,241,649","$3,993",$899,27 QUEENS,1 BROOKLYN,,,BROOKLYN/QUEENS,,"05, 08","10, 14, 19","29, 31, 32, 33, 60","27, 28, 31, 42",9/30/1972,,,YES,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP VI),NY005012090,273,91,395,324,NY005199,FEDERAL,CONVENTIONAL,REHAB,0,4,7,21,5.25,0,5,5,4,1,6,0,7,1–1.5–2–2.5,"46,406.00",1.07,"46,406",1.07,,,,5,"$369,711","$4,201",$609,6 QUEENS,,,,QUEENS,,5,"10, 14","31, 32, 33","27, 28, 31",7/31/1976,,,YES,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP VII),NY005012090,274,91,396,324,NY005197,FEDERAL,CONVENTIONAL,REHAB,0,4,5,25,6.25,0,9,9,2,0.5,5,0,5,1–1.5–2–2.5,"41,138.00",0.94,"41,138",0.94,,,,10,"$453,780","$4,605",$959,5 QUEENS,,,,QUEENS,,5,"10, 14","29, 31, 33","27, 28",7/31/1976,,,YES,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP VIII),NY005012090,275,91,520,324,NY005198,FEDERAL,CONVENTIONAL,REHAB,0,3,7,18.5,6.17,0,10,10,0,0,7,0,7,1–1.5–2–2.5,"34,842.00",0.8,"34,842",0.8,,,,13,"$323,522","$4,616",$838,7 QUEENS,,,,QUEENS,,5,"10, 14","29, 31, 32, 33","27, 28, 31",7/31/1976,,,YES,,
1/1/2024,FHA REPOSSESSED HOUSES (GROUP X),NY005012090,284,91,521,324,NY005212,FEDERAL,CONVENTIONAL,REHAB,0,14,17,77,5.5,0,28,28,7,0.5,16,0,17,1–1.5–2–2.5,"99,627.00",2.29,"99,627",2.29,,,,12,"$2,074,109","$8,198",$616,16 QUEENS,,,,QUEENS,,5,"10, 14","23, 29, 31, 32, 33","27, 28, 31",1/31/1983,,,YES,,
1/1/2024,FIRST HOUSES,NY005012920,1,337,370,370,NY005181A,FEDERAL,CONVENTIONAL,NEW CONST,0,96,126,340,3.54,0,145,145,43,0.4624,8,0,8,4–5,"53,532.00",1.23,"53,532",1.23,"24,540","1,411,795",45.84%,118,"$1,384,643","$3,653",$531,E 2ND ST,E 3RD ST,AVENUE A,FIRST AVE,MANHATTAN,3,10,27,74,2,5/31/1936,1972/06/29-FED TRAN,,YES,,
1/1/2024,FOREST,NY005000590,59,59,535,535,NY005220F,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,345","1,350","6,138.50",4.56,0,"2,686","2,686",540,0.4235,15,0,15,9–10–14,"771,920.00",17.72,"700,087",16.07,"125,002","11,465,400",16.19%,152,"$19,576,000","$3,186",$555,TINTON AVE,E 163RD ST,TRINITY AVE,E 166TH ST,BRONX,3,15,32,79,17,11/12/1956,1978/07/01-ATP 3,,,,
1/1/2024,FORT INDEPENDENCE STREET-HEATH AVENUE,NY005012020,197,197,308,311,NY005110,FEDERAL,TURNKEY,NEW CONST,0,329,344,"1,453.50",4.42,0,694,694,157,0.4787,1,0,2,21,"149,152.00",3.42,"149,152",3.42,"25,162","3,321,343",16.87%,203,"$10,566,070","$6,933",$565,FT INDEPENDENCE ST,HEATH AVE,BAILEY AVE,SUMMIT PL,BRONX,8,13,31,81,14,11/30/1974,,,,,
1/1/2024,FULTON,NY005001360,136,136,252,252,NY005053,FEDERAL,CONVENTIONAL,NEW CONST,0,892,944,"4,016.00",4.5,0,"1,900","1,900",423,0.4747,11,1,11,6–25,"214,139.00",4.92,"214,139",4.92,"70,645","8,097,991",25.88%,386,"$20,727,847","$4,866",$732,W 16TH ST,W 19TH ST,NINTH AVE,,MANHATTAN,4,12,47,75,3,3/31/1965,,,,,
1/1/2024,GARVEY (GROUP A),NY005012520,252,252,381,381,NY005166,FEDERAL,CONVENTIONAL,NEW CONST,0,320,321,"1,525.00",4.77,0,814,814,129,0.4082,3,1,5,"2, 6–14","142,730.00",3.28,"142,730",3.28,"40,745","3,257,257",28.55%,248,"$12,599,489","$8,168",$680,EAST NEW YORK AVE,AMBOY ST,PITKIN AVE,,BROOKLYN,16,8,25,55,41,2/28/1975,,PARTIALLY (1 BUILDING),,,
1/1/2024,GLEBE AVENUE-WESTCHESTER AVENUE,NY005010670,225,67,342,222,NY005147,FEDERAL,TURNKEY,NEW CONST (ELD),0,131,132,434.5,3.32,0,134,134,114,0.9268,1,0,1,6,"47,204.00",1.08,"47,204",1.08,"18,734","1,123,122",39.69%,124,"$3,356,367","$7,467",$392,GLEBE AVE,WESTCHESTER AVE,CASTLE HILL AVE,LYON AVE,BRONX,10,14,34,87,18,12/31/1971,,EXCLUSIVELY,,,
1/1/2024,GLENMORE PLAZA,NY005011690,171,169,581,581,NY005267C,FEDERAL,CONVENTIONAL,NEW CONST,0,440,440,"1,704.00",3.87,0,775,775,205,0.4916,4,0,4,10–18–24,"186,180.00",4.27,"186,180",4.27,"24,838","4,024,811",13.34%,181,"$10,600,000","$6,221",$531,PITKIN AVE,GLENMORE AVE,WATKINS ST,POWELL ST,BROOKLYN,16,8,25,55,37,4/30/1968,1980/07/01-ATP 5,,,,
1/1/2024,GLENWOOD,NY005000440,44,44,584,584,NY005268B,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,184","1,188","5,199.00",4.39,0,"2,300","2,300",469,0.4118,20,0,40,6,"975,095.00",22.39,"915,230",21.01,"183,856","10,242,805",18.86%,103,"$12,907,133","$2,475",$625,E 56TH ST,FARRAGUT RD,RALPH AVE,AVENUE H,BROOKLYN,18,9,21,59,45,7/14/1950,1980/07/01-ATP 6,,,,
1/1/2024,GOMPERS,NY005011000,100,100,237,237,NY005032,FEDERAL,CONVENTIONAL,NEW CONST,0,473,474,"2,198.50",4.65,0,982,982,216,0.4843,2,2,4,20,"161,016.00",3.7,"161,016",3.7,"24,555","4,083,496",15.25%,265,"$9,322,807","$4,240",$649,DELANCY ST,PITT ST,STANTON ST,,MANHATTAN,3,10,27,65,2,4/30/1964,,,,,
1/1/2024,GOWANUS,NY005000250,25,25,515,515,NY005213G,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,097","1,139","5,257.50",4.79,0,"2,382","2,382",466,0.4263,15,1,24,4–6–9–13–14,"547,663.00",12.57,"502,216",11.53,"105,659","9,028,680",19.29%,189,"$11,928,000","$2,203",$683,WYCKOFF ST,DOUGLASS ST,BOND ST,HOYT ST,BROOKLYN,6,10,26,52,39,6/24/1949,1977/07/01-ATP 1,,,,
1/1/2024,GRANT,NY005000870,87,87,232,232,NY005030,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,855","1,940","8,746.50",4.72,0,"3,944","3,944",766,0.4136,9,1,9,13–21,"655,681.00",15.05,"655,681",15.05,"101,477","16,701,596",15.48%,262,"$28,783,425","$3,150",$642,W 125TH ST,MORNINGSIDE AVE,W 123RD ST,BROADWAY,MANHATTAN,9,13,30,69,7,10/31/1957,,,,,
1/1/2024,GRAVESEND,NY005011720,68,172,225,225,NY005025,FEDERAL,CONVENTIONAL,NEW CONST,0,631,634,"2,936.50",4.65,0,"1,347","1,347",257,0.4363,15,0,15,7,"540,725.00",12.41,"540,725",12.41,"92,855","5,356,500",17.17%,109,"$7,927,996","$2,687",$545,NEPTUNE AVE,BAYVIEW AVE,W 33RD ST,,BROOKLYN,13,8,23,46,47,6/28/1954,,,,,
1/1/2024,GUN HILL,NY005010470,40,40,579,579,NY005267A,FEDERAL,CONVENTIONAL,NEW CONST,0,727,733,"3,105.50",4.27,0,"1,359","1,359",317,0.4503,6,0,6,14,"345,256.00",7.93,"314,070",7.21,"54,684","6,221,645",15.84%,171,"$8,709,286","$2,784",$616,HOLLAND AVE,WHITE PLAINS RD,GUN HILL RD,MAGENTA ST,BRONX,12,15,36,83,12,11/30/1950,1980/07/01-ATP 5,,,,
1/1/2024,HABER,NY005011660,142,166,589,589,NY005271D,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,380,380,"1,327.00",3.49,0,417,417,340,0.9418,3,0,3,14,"134,432.00",3.09,"134,432",3.09,"23,903","2,547,605",17.78%,135,"$7,494,000","$5,647",$341,W 24TH ST,SURF AVE,REIGELMANN BRDWLK,W 25TH ST,BROOKLYN,13,8,23,46,47,6/30/1965,1980/10/01-ATP 7,EXCLUSIVELY,,,
1/1/2024,HAMMEL,NY005010750,75,75,226,226,NY005027,FEDERAL,CONVENTIONAL,NEW CONST,0,705,712,"3,273.50",4.64,0,"1,530","1,530",261,0.3979,14,0,14,7,"616,678.00",14.16,"572,678",13.15,"107,706","5,991,153",17.47%,108,"$9,618,901","$2,909",$519,B 86TH ST,HAMMELS BLVD,B 81ST ST,ROCKAWAY BCH BLVD,QUEENS,14,5,10,31,31,4/20/1955,,,,,
1/1/2024,HARBORVIEW TERRACE,NY005010220,262,22,377,377,NY005168,FEDERAL,TURNKEY,NEW CONST,0,377,377,"1,493.50",3.96,0,582,582,245,0.6844,2,0,2,14–15,"120,497.00",2.77,"120,497",2.77,"22,666","3,139,759",18.81%,210,"$16,721,224","$10,911",$584,W 54TH ST,W 56TH ST,TENTH AVE,ELEVENTH AVE,MANHATTAN,4,12,47,67,6,6/30/1977,,PARTIALLY (1 BUILDING),,,
1/1/2024,HARRISON AVENUE REHAB (GROUP A),NY005013410,347,341,772,762,NY005231,FEDERAL,TURNKEY,REHAB,0,34,34,146,4.29,0,69,69,21,0.6364,1,0,1,5,"9,167.00",0.21,"9,167",0.21,"6,698","404,958",73.07%,329,"$2,368,803","$16,225",$494,HARRISON AVE,W BURNSIDE AVE,GRAND AVE,KINGSLAND PL,BRONX,5,13,33,86,14,9/1/1986,,,YES,YES,
1/1/2024,HARRISON AVENUE REHAB (GROUP B),NY005013410,547,341,773,762,NY005287,FEDERAL,TURNKEY,REHAB,0,141,150,628.5,4.46,0,299,299,60,0.4317,4,0,4,5–6,"44,753.00",1.03,"44,753",1.03,"29,954","1,856,310",66.93%,290,"$10,059,298","$15,150",$530,UNIVERSITY PL,W BURNSIDE AVE,GRAND AVE,KINGSLAND PL,BRONX,5,13,"31, 33",86,14,12/1/1986,,,YES,YES,
1/1/2024,HERNANDEZ,NY005011000,184,100,286,237,NY005085,FEDERAL,CONVENTIONAL,NEW CONST,0,141,149,573.5,4.07,0,235,235,84,0.5957,1,0,1,17,"44,689.00",1.03,"44,689",1.03,"13,167","1,293,680",29.46%,228,"$3,731,491","$6,077",$557,ALLEN ST,STANTON ST,ELDRIDGE ST,E HOUSTON ST,MANHATTAN,3,10,27,65,1,8/31/1971,,,,,
1/1/2024,HIGHBRIDGE GARDENS,NY005000780,78,78,229,229,NY005026,FEDERAL,CONVENTIONAL,NEW CONST,0,698,700,"3,243.00",4.65,0,"1,437","1,437",268,0.4036,6,0,6,13–14,"496,875.00",11.41,"496,875",11.41,"55,678","5,837,785",10.12%,126,"$7,547,875","$2,321",$608,SEDGWICK AVE,W 167TH ST,UNIVERSITY AVE,,BRONX,4,15,29,77,16,6/18/1954,,,,,
1/1/2024,HOE AVENUE-EAST 173RD STREET,NY005015300,215,530,333,748,NY005164,FEDERAL,TURNKEY,NEW CONST,0,63,65,262.5,4.17,0,143,143,12,0.1905,1,0,1,6,"22,000.00",0.51,"22,000",0.51,"9,242","602,580",42.01%,280,"$1,583,566","$5,801",$633,HOE AVE,E 173RD ST,E 174TH ST,VYSE AVE,BRONX,3,15,32,79,17,12/31/1970,,,,YES,
1/1/2024,HOLMES TOWERS,NY005011390,159,139,277,253,NY005069,FEDERAL,CONVENTIONAL,NEW CONST,0,535,537,"2,065.50",3.86,0,872,872,262,0.5117,2,0,2,25,"122,341.00",2.81,"122,341",2.81,"19,872","3,893,920",16.24%,310,"$10,435,545","$4,952",$582,FIRST AVE,ISAACS HOUSES,FDR DRIVE,E 92ND ST,MANHATTAN,8,12,29,68,8,4/30/1969,,,,,
1/1/2024,HOWARD,NY005000720,72,72,568,568,NY005244A,FEDERAL,CONVENTIONAL,NEW CONST,0,810,815,"3,685.00",4.55,0,"1,695","1,695",329,0.4284,10,0,16,7–13,"664,735.00",15.26,"621,176",14.26,"87,500","6,943,700",13.16%,111,"$11,359,000","$3,079",$515,EAST NEW YORK AVE,MOTHER GASTON BLVD,PITKIN AVE,ROCKAWAY AVE,BROOKLYN,16,8,25,55,41,12/30/1955,1979/08/01-ATP 4,,,,
1/1/2024,HUGHES APARTMENTS,NY005011680,168,168,275,275,NY005081,FEDERAL,CONVENTIONAL,NEW CONST,0,504,513,"2,403.00",4.77,0,"1,246","1,246",156,0.3171,3,1,3,22,"241,990.00",5.56,"241,990",5.56,"23,502","4,599,540",9.71%,224,"$10,288,064","$4,201",$688,ROCKAWAY AVE,MOTHER GASTON BLVD,SUTTER AVE,BELMONT AVE,BROOKLYN,16,8,25,55,41,6/30/1968,,,,,
